,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 19,TF Blade,1682,Defeat,58,162,10720,14,27
Match 20,TF Blade,1584,Victory,85,158,11169,16,20
Match 21,TF Blade,2106,Defeat,24,315,17754,18,35
Match 22,TF Blade,1728,Victory,23,290,16838,18,20
Match 23,TF Blade,1284,Defeat,58,147,7921,12,14
Match 24,TF Blade,1748,Victory,24,238,15135,17,15
Match 25,TF Blade,1569,Victory,24,181,11019,14,24
Match 26,TF Blade,1945,Victory,39,258,15681,17,37
Match 27,TF Blade,1129,Victory,24,144,10634,13,14
Match 28,TF Blade,1474,Defeat,24,182,12095,14,17
Match 29,TF Blade,1435,Victory,150,169,10469,15,30
Match 30,TF Blade,1089,Victory,24,143,9376,12,16
Match 31,TF Blade,2177,Defeat,150,275,15279,18,39
Match 32,TF Blade,1764,Defeat,150,187,10840,14,24
Match 33,TF Blade,967,Defeat,89,12,3320,6,10
Match 34,TF Blade,1422,Defeat,120,170,8208,13,19
Match 35,TF Blade,2332,Victory,24,286,15539,18,47
Match 36,TF Blade,1817,Victory,39,247,17924,18,31
Match 37,TF Blade,1907,Victory,58,215,13345,16,34
Match 38,TF Blade,2190,Victory,58,235,16400,18,60
Match 39,TF Blade,1965,Victory,18,155,12686,16,21
Match 40,TF Blade,1278,Victory,24,155,9077,14,13
Match 41,TF Blade,2053,Victory,85,235,14460,18,38
Match 42,TF Blade,1412,Defeat,150,182,8050,13,16
Match 43,TF Blade,1703,Victory,150,179,13235,16,16
Match 44,TF Blade,2113,Victory,150,197,16515,18,47
Match 45,TF Blade,1960,Victory,39,275,16489,18,24
Match 46,TF Blade,1934,Defeat,39,231,13369,16,53
Match 47,TF Blade,1415,Victory,2,36,11502,14,16
Match 48,TF Blade,2037,Defeat,164,231,11657,16,27
Match 49,TF Blade,1569,Victory,58,175,10148,14,22
Match 50,TF Blade,1756,Defeat,121,24,8729,13,28
Match 51,TF Blade,1213,Victory,150,137,7931,13,12
Match 52,TF Blade,1225,Victory,121,19,7867,11,18
Match 53,TF Blade,1733,Victory,89,39,8346,13,76
Match 54,TF Blade,990,Victory,150,155,7846,12,14
Match 55,TF Blade,2166,Victory,39,306,18641,18,45
Match 56,TF Blade,1261,Defeat,85,136,6981,12,17
Match 57,TF Blade,1798,Victory,24,214,12507,17,21
Match 58,TF Blade,1274,Victory,85,152,10802,14,17
Match 59,TF Blade,1921,Victory,24,215,14696,16,24
Match 60,TF Blade,1382,Victory,39,170,9969,14,19
Match 61,TF Blade,1742,Victory,24,186,13425,16,32
Match 62,TF Blade,968,Victory,85,119,7501,11,6
Match 63,TF Blade,1885,Victory,121,23,14576,17,34
Match 64,TF Blade,1804,Defeat,24,218,9929,15,22
Match 65,TF Blade,1186,Victory,150,153,9764,13,16
Match 66,TF Blade,1762,Defeat,164,199,11952,16,13
Match 67,TF Blade,1207,Defeat,24,164,7669,12,6
Match 68,TF Blade,1519,Defeat,24,180,10540,14,19
Match 69,TF Blade,1712,Defeat,24,235,11810,16,21
