,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 56,Controleed Freak,2111,Defeat,8,205,16413,18,31
Match 57,Controleed Freak,1494,Defeat,55,157,8543,13,9
Match 58,Controleed Freak,1438,Victory,107,161,12971,14,14
Match 59,Controleed Freak,1271,Defeat,107,36,7688,11,9
Match 60,Controleed Freak,1831,Defeat,104,59,15125,15,19
Match 61,Controleed Freak,1800,Victory,39,204,14251,16,19
Match 62,Controleed Freak,1382,Defeat,266,126,7716,13,12
Match 63,Controleed Freak,1621,Defeat,39,231,14497,15,15
Match 64,Controleed Freak,915,Defeat,34,103,5048,11,7
Match 65,Controleed Freak,1137,Victory,266,122,6881,12,6
Match 66,Controleed Freak,2198,Victory,107,43,18618,18,38
Match 67,Controleed Freak,1592,Victory,39,193,11068,15,9
Match 68,Controleed Freak,1157,Defeat,55,111,6768,11,10
Match 69,Controleed Freak,1261,Defeat,266,100,5274,11,8
Match 70,Controleed Freak,2234,Victory,107,193,15534,17,23
Match 1,Controleed Freak,964,Defeat,266,116,7969,12,7
Match 2,Controleed Freak,2113,Victory,107,85,22242,18,21
Match 3,Controleed Freak,1391,Defeat,75,163,7995,13,9
Match 4,Controleed Freak,1827,Victory,157,212,17961,17,13
Match 5,Controleed Freak,1772,Defeat,157,172,13774,15,17
Match 6,Controleed Freak,2456,Defeat,92,240,14026,17,27
Match 7,Controleed Freak,1466,Defeat,875,25,7213,11,11
Match 8,Controleed Freak,1318,Victory,24,131,8352,13,4
Match 9,Controleed Freak,1184,Defeat,114,130,7490,11,6
Match 10,Controleed Freak,1264,Victory,157,139,9345,13,12
Match 11,Controleed Freak,1406,Victory,266,145,9742,14,8
Match 12,Controleed Freak,1592,Victory,77,21,12471,15,25
Match 13,Controleed Freak,1235,Victory,39,137,7715,11,14
Match 14,Controleed Freak,1785,Victory,266,160,10725,16,15
Match 15,Controleed Freak,863,Victory,266,110,7855,12,5
Match 16,Controleed Freak,1884,Victory,92,191,12116,17,19
Match 17,Controleed Freak,1266,Defeat,55,128,10408,13,12
Match 18,Controleed Freak,2093,Defeat,86,173,15540,16,32
Match 19,Controleed Freak,2004,Defeat,203,80,13215,16,24
Match 20,Controleed Freak,2041,Victory,107,167,18240,18,14
Match 21,Controleed Freak,1978,Victory,39,212,11620,17,18
Match 22,Controleed Freak,1923,Victory,777,216,24416,18,12
Match 23,Controleed Freak,1249,Victory,39,180,14473,14,8
Match 24,Controleed Freak,1782,Defeat,39,217,18141,16,19
Match 25,Controleed Freak,1903,Defeat,39,203,13929,16,29
Match 26,Controleed Freak,629,Victory,157,91,5156,9,6
Match 27,Controleed Freak,1836,Defeat,107,20,12506,14,25
Match 28,Controleed Freak,1897,Defeat,38,222,13223,16,23
Match 29,Controleed Freak,1451,Defeat,39,173,10754,14,12
Match 30,Controleed Freak,1605,Defeat,161,156,10785,13,13
Match 31,Controleed Freak,1344,Defeat,92,151,7683,13,14
Match 32,Controleed Freak,1347,Defeat,4,128,7689,12,9
Match 33,Controleed Freak,1568,Defeat,55,140,9638,15,11
Match 34,Controleed Freak,1101,Victory,39,156,9580,13,11
Match 35,Controleed Freak,2310,Defeat,55,211,15601,17,25
Match 36,Controleed Freak,1148,Defeat,122,160,7745,13,16
Match 37,Controleed Freak,2316,Victory,92,255,21469,18,23
Match 38,Controleed Freak,2207,Defeat,55,198,14576,17,20
Match 39,Controleed Freak,2231,Victory,122,205,23776,18,24
Match 40,Controleed Freak,1319,Victory,24,114,7752,12,14
Match 41,Controleed Freak,1017,Defeat,75,116,5145,11,8
Match 42,Controleed Freak,2188,Victory,523,244,12932,15,19
Match 43,Controleed Freak,1007,Defeat,64,3,5962,9,10
Match 44,Controleed Freak,1288,Defeat,107,2,6982,11,13
Match 45,Controleed Freak,1470,Victory,77,19,10357,14,19
Match 46,Controleed Freak,1737,Defeat,34,196,11140,15,31
Match 47,Controleed Freak,2064,Victory,39,267,20984,18,16
Match 48,Controleed Freak,931,Victory,107,6,6535,10,8
Match 49,Controleed Freak,1810,Victory,81,187,14069,15,21
Match 50,Controleed Freak,1634,Defeat,92,168,9612,14,10
Match 51,Controleed Freak,1212,Defeat,157,138,8271,13,12
Match 52,Controleed Freak,1658,Victory,82,165,11395,16,16
Match 53,Controleed Freak,1601,Victory,24,160,13293,16,13
Match 54,Controleed Freak,1235,Victory,92,151,11576,14,10
Match 55,Controleed Freak,1396,Defeat,157,153,10987,13,13
Match 56,Controleed Freak,1738,Victory,53,37,9761,14,19
Match 57,Controleed Freak,1952,Defeat,157,246,20040,18,33
Match 58,Controleed Freak,1586,Defeat,238,138,11587,14,28
Match 59,Controleed Freak,1801,Victory,24,143,12631,15,30
Match 60,Controleed Freak,1703,Victory,238,182,14608,17,18
Match 61,Controleed Freak,1710,Defeat,24,167,10588,14,13
Match 62,Controleed Freak,1257,Victory,777,124,6651,12,11
Match 63,Controleed Freak,1799,Defeat,119,190,15084,14,6
Match 64,Controleed Freak,1832,Victory,122,227,15239,16,13
Match 65,Controleed Freak,2287,Victory,11,80,15752,18,12
Match 66,Controleed Freak,1521,Defeat,39,208,13731,15,10
Match 67,Controleed Freak,927,Defeat,266,70,4181,9,4
Match 68,Controleed Freak,1315,Defeat,122,171,10259,13,11
Match 69,Controleed Freak,1954,Victory,2,66,18334,18,25
Match 70,Controleed Freak,2467,Defeat,51,252,17950,18,40
Match 71,Controleed Freak,2116,Victory,238,175,22952,18,38
Match 72,Controleed Freak,1497,Defeat,875,129,7240,13,9
Match 73,Controleed Freak,1840,Defeat,107,33,14458,16,16
Match 74,Controleed Freak,1701,Defeat,122,179,12151,14,22
Match 75,Controleed Freak,1736,Victory,122,212,16218,18,13
Match 1,Controleed Freak,1841,Defeat,235,64,8103,14,58
Match 2,Controleed Freak,628,Defeat,55,50,2786,8,2
Match 3,Controleed Freak,2079,Defeat,266,190,12723,16,17
Match 4,Controleed Freak,1224,Victory,107,31,10052,13,18
Match 5,Controleed Freak,1659,Victory,122,158,11811,15,23
Match 6,Controleed Freak,1774,Victory,81,195,10683,14,18
Match 7,Controleed Freak,1556,Victory,92,175,11565,15,13
Match 8,Controleed Freak,645,Victory,92,73,4411,8,3
Match 9,Controleed Freak,2235,Victory,266,219,16131,18,22
Match 10,Controleed Freak,1221,Defeat,157,117,7001,11,9
Match 11,Controleed Freak,1500,Victory,62,177,13460,15,3
Match 12,Controleed Freak,2036,Victory,55,184,14533,16,16
Match 13,Controleed Freak,2312,Victory,238,220,19722,18,26
Match 14,Controleed Freak,1333,Victory,55,132,10589,13,9
Match 15,Controleed Freak,2191,Victory,104,116,21162,18,29
Match 16,Controleed Freak,1473,Victory,107,139,10674,14,16
Match 17,Controleed Freak,2194,Victory,6,60,17627,18,40
Match 18,Controleed Freak,943,Defeat,107,5,4705,9,12
Match 19,Controleed Freak,1164,Victory,107,131,8886,13,7
Match 20,Controleed Freak,1580,Defeat,107,146,12421,14,11
Match 21,Controleed Freak,1454,Defeat,92,119,7741,12,15
Match 22,Controleed Freak,1779,Defeat,157,177,12513,15,14
Match 23,Controleed Freak,919,Defeat,79,109,5252,11,10
Match 24,Controleed Freak,947,Victory,22,127,7312,10,8
Match 25,Controleed Freak,2226,Victory,245,97,21895,18,47
Match 26,Controleed Freak,1959,Defeat,106,158,10873,17,16
Match 27,Controleed Freak,1789,Defeat,81,152,9835,13,23
Match 28,Controleed Freak,1048,Defeat,50,18,4753,8,17
Match 29,Controleed Freak,1457,Defeat,104,48,12167,14,13
Match 30,Controleed Freak,2438,Victory,81,196,19204,18,36
Match 31,Controleed Freak,1862,Victory,107,147,14705,16,17
Match 32,Controleed Freak,1156,Victory,157,147,10379,14,9
Match 33,Controleed Freak,1715,Defeat,33,10,10021,13,17
Match 34,Controleed Freak,1592,Victory,238,168,12032,16,20
Match 35,Controleed Freak,1262,Defeat,131,147,6925,12,7
Match 36,Controleed Freak,1518,Defeat,112,147,7348,12,10
Match 37,Controleed Freak,1792,Defeat,429,174,13571,15,14
Match 38,Controleed Freak,2444,Victory,92,222,18885,18,28
Match 39,Controleed Freak,1506,Defeat,92,162,11575,14,12
Match 40,Controleed Freak,1792,Victory,2,69,18964,17,22
Match 41,Controleed Freak,1802,Victory,157,179,14279,17,13
Match 42,Controleed Freak,1676,Victory,157,137,12510,15,13
Match 43,Controleed Freak,2162,Victory,104,49,17770,18,30
Match 44,Controleed Freak,1009,Defeat,235,12,4211,7,15
Match 45,Controleed Freak,1255,Defeat,14,126,7276,11,6
Match 46,Controleed Freak,917,Victory,157,113,6787,12,7
Match 47,Controleed Freak,2137,Victory,104,84,21771,18,40
Match 48,Controleed Freak,1811,Defeat,86,186,15393,16,17
Match 49,Controleed Freak,935,Victory,119,128,8099,10,1
Match 1,Controleed Freak,2100,Victory,104,84,16534,18,23
Match 2,Controleed Freak,1902,Defeat,77,28,12710,16,17
Match 3,Controleed Freak,1616,Defeat,104,53,10025,14,24
Match 4,Controleed Freak,1979,Defeat,236,205,12371,15,24
Match 5,Controleed Freak,2543,Defeat,157,252,18654,18,35
Match 6,Controleed Freak,1710,Victory,429,163,16020,16,13
Match 7,Controleed Freak,935,Defeat,119,79,4469,8,4
Match 8,Controleed Freak,1266,Defeat,77,133,9262,13,9
Match 9,Controleed Freak,1216,Victory,14,108,7458,12,7
Match 10,Controleed Freak,1739,Victory,429,190,15146,15,11
Match 11,Controleed Freak,2165,Defeat,41,255,15275,17,14
Match 12,Controleed Freak,2020,Defeat,236,208,13335,15,13
Match 13,Controleed Freak,1290,Defeat,777,130,7813,12,8
Match 14,Controleed Freak,2444,Victory,238,225,17288,18,20
Match 15,Controleed Freak,2381,Defeat,51,208,15345,17,21
Match 16,Controleed Freak,2168,Victory,75,238,15724,18,10
Match 17,Controleed Freak,1453,Victory,107,154,12047,15,15
Match 18,Controleed Freak,1473,Victory,92,163,14092,15,10
Match 19,Controleed Freak,2254,Defeat,157,229,17122,18,18
Match 20,Controleed Freak,1122,Defeat,92,90,5226,10,7
Match 21,Controleed Freak,1633,Victory,107,174,12603,15,21
Match 22,Controleed Freak,2081,Defeat,517,166,13848,16,20
Match 23,Controleed Freak,2142,Victory,39,220,12957,17,15
Match 24,Controleed Freak,1952,Victory,98,167,12769,16,13
Match 25,Controleed Freak,1850,Victory,92,190,15090,16,21
Match 26,Controleed Freak,1053,Victory,107,109,8280,12,10
Match 27,Controleed Freak,2121,Victory,107,45,15328,17,35
Match 28,Controleed Freak,987,Victory,202,102,5867,9,3
Match 29,Controleed Freak,1925,Defeat,107,184,15071,17,33
Match 30,Controleed Freak,945,Victory,777,97,8978,11,6
Match 31,Controleed Freak,1201,Defeat,34,136,6601,12,6
Match 32,Controleed Freak,1870,Victory,24,205,14178,17,21
Match 33,Controleed Freak,2225,Victory,62,157,16337,17,40
