,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 16,Ender Dragon 3,1781,Defeat,266,180,11623,15,12
Match 17,Ender Dragon 3,1498,Victory,157,170,13810,16,13
Match 18,Ender Dragon 3,2014,Victory,157,260,15049,17,28
Match 19,Ender Dragon 3,1213,Defeat,86,141,7426,12,9
Match 20,Ender Dragon 3,2289,Victory,103,211,13267,17,21
Match 21,Ender Dragon 3,2002,Defeat,157,187,13579,16,14
Match 22,Ender Dragon 3,1472,Victory,157,159,13530,14,11
Match 23,Ender Dragon 3,2277,Victory,157,221,15025,17,26
Match 24,Ender Dragon 3,1435,Victory,157,160,13082,14,11
Match 25,Ender Dragon 3,1548,Victory,103,118,11630,14,10
Match 26,Ender Dragon 3,2163,Defeat,103,180,10290,15,26
Match 27,Ender Dragon 3,2038,Victory,54,134,12213,16,19
Match 28,Ender Dragon 3,1688,Victory,157,171,13699,16,11
Match 29,Ender Dragon 3,1378,Victory,157,170,10213,14,16
Match 30,Ender Dragon 3,1975,Victory,157,214,15170,17,13
Match 31,Ender Dragon 3,1531,Victory,157,170,11670,14,17
Match 32,Ender Dragon 3,1542,Defeat,92,149,9217,13,10
Match 33,Ender Dragon 3,1228,Defeat,86,128,6857,12,8
Match 34,Ender Dragon 3,2036,Defeat,157,245,17174,18,18
Match 35,Ender Dragon 3,1261,Defeat,86,157,7982,13,8
Match 36,Ender Dragon 3,1310,Defeat,157,148,7241,12,9
Match 37,Ender Dragon 3,1532,Victory,157,161,11518,14,13
Match 38,Ender Dragon 3,1178,Defeat,92,94,4556,11,6
Match 39,Ender Dragon 3,1374,Victory,157,164,11095,13,9
Match 40,Ender Dragon 3,2146,Victory,238,185,15293,18,21
Match 41,Ender Dragon 3,1903,Defeat,157,232,14642,15,16
Match 42,Ender Dragon 3,1261,Victory,103,118,11554,14,4
Match 43,Ender Dragon 3,1913,Defeat,86,152,10377,15,16
Match 44,Ender Dragon 3,1189,Defeat,266,99,5002,11,5
Match 45,Ender Dragon 3,1810,Defeat,157,161,11572,15,14
Match 46,Ender Dragon 3,1686,Victory,157,179,12236,15,12
Match 47,Ender Dragon 3,1254,Defeat,266,141,7375,12,4
Match 48,Ender Dragon 3,1266,Victory,157,144,10334,13,9
Match 49,Ender Dragon 3,1595,Victory,104,76,14861,16,25
Match 50,Ender Dragon 3,1804,Defeat,157,174,13286,15,16
Match 51,Ender Dragon 3,1536,Victory,157,157,11654,15,14
