,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 67,Adrian Riven,1183,Defeat,92,129,6178,12,9
Match 68,Adrian Riven,955,Victory,164,81,5750,10,5
Match 69,Adrian Riven,1716,Victory,92,172,15929,16,18
Match 70,Adrian Riven,1420,Defeat,114,151,7456,13,10
Match 71,Adrian Riven,1487,Victory,92,214,16464,16,26
Match 72,Adrian Riven,1606,Victory,114,143,11521,14,20
Match 73,Adrian Riven,964,Victory,92,114,7720,11,15
Match 74,Adrian Riven,1699,Victory,114,157,12085,15,18
Match 75,Adrian Riven,1370,Defeat,114,159,7243,13,11
Match 76,Adrian Riven,2053,Victory,114,215,14748,17,39
Match 77,Adrian Riven,1210,Victory,92,188,12129,14,12
Match 78,Adrian Riven,1736,Defeat,92,163,11325,14,19
Match 79,Adrian Riven,1803,Defeat,92,169,12034,15,19
Match 80,Adrian Riven,1419,Victory,114,158,9714,14,12
Match 81,Adrian Riven,1279,Victory,92,148,9927,14,11
Match 82,Adrian Riven,1119,Victory,92,128,10045,12,15
Match 83,Adrian Riven,1837,Defeat,92,170,11698,15,25
Match 84,Adrian Riven,1433,Victory,114,130,11320,14,15
Match 85,Adrian Riven,1941,Victory,92,197,15240,17,36
Match 86,Adrian Riven,1740,Victory,114,164,12343,15,19
Match 87,Adrian Riven,2194,Victory,92,196,15347,16,20
Match 88,Adrian Riven,1478,Defeat,92,166,11654,14,14
Match 89,Adrian Riven,1426,Defeat,164,79,5891,11,9
Match 90,Adrian Riven,1305,Victory,92,124,10020,13,18
Match 91,Adrian Riven,1618,Victory,114,165,13497,14,11
Match 92,Adrian Riven,1163,Victory,92,116,8210,13,10
Match 93,Adrian Riven,1775,Defeat,92,167,11123,14,19
Match 94,Adrian Riven,1131,Defeat,92,91,7225,10,14
Match 95,Adrian Riven,1596,Victory,164,135,9624,14,33
Match 96,Adrian Riven,1504,Victory,92,153,13208,15,17
Match 97,Adrian Riven,911,Defeat,114,90,5099,9,12
Match 98,Adrian Riven,1876,Defeat,58,208,15044,16,25
Match 1,Adrian Riven,1598,Victory,164,159,10237,15,17
Match 2,Adrian Riven,1325,Victory,92,132,9411,13,10
Match 3,Adrian Riven,2199,Victory,92,214,18740,18,28
Match 4,Adrian Riven,1962,Victory,92,185,15584,17,17
Match 5,Adrian Riven,1175,Victory,92,124,8400,12,10
Match 6,Adrian Riven,1801,Defeat,114,181,9867,15,22
Match 7,Adrian Riven,203,Defeat,92,13,1333,3,0
Match 8,Adrian Riven,978,Defeat,92,107,7120,10,8
Match 9,Adrian Riven,1280,Victory,164,108,8248,13,10
Match 10,Adrian Riven,1863,Defeat,92,179,11463,15,17
Match 11,Adrian Riven,2002,Defeat,92,224,15397,17,32
Match 12,Adrian Riven,1628,Victory,92,95,10145,14,20
Match 13,Adrian Riven,2016,Victory,92,247,16548,18,19
Match 14,Adrian Riven,1304,Victory,92,146,12954,14,10
Match 15,Adrian Riven,619,Victory,92,74,3598,8,4
Match 16,Adrian Riven,977,Defeat,92,96,4633,9,15
Match 17,Adrian Riven,1244,Victory,92,157,9218,14,17
Match 18,Adrian Riven,1731,Defeat,92,124,10323,15,14
Match 19,Adrian Riven,605,Victory,92,64,5292,8,4
Match 20,Adrian Riven,1482,Victory,114,95,8447,13,20
Match 21,Adrian Riven,1852,Victory,92,230,14422,17,30
Match 22,Adrian Riven,2430,Defeat,92,205,15210,18,32
Match 23,Adrian Riven,2690,Defeat,92,240,17263,18,43
Match 24,Adrian Riven,1889,Victory,92,180,13421,16,31
Match 25,Adrian Riven,1325,Victory,92,167,8787,13,7
Match 26,Adrian Riven,915,Victory,92,127,6776,12,5
Match 27,Adrian Riven,930,Victory,54,90,4846,10,7
Match 28,Adrian Riven,1829,Defeat,92,190,12708,16,20
Match 29,Adrian Riven,1329,Defeat,114,146,7165,12,14
Match 30,Adrian Riven,1213,Victory,92,153,9746,14,12
Match 31,Adrian Riven,2027,Defeat,266,204,11121,17,14
Match 32,Adrian Riven,2380,Defeat,92,226,19684,18,25
Match 33,Adrian Riven,1649,Victory,92,174,15077,16,23
Match 34,Adrian Riven,1248,Defeat,92,164,6468,12,4
Match 35,Adrian Riven,1652,Defeat,114,158,8279,14,18
Match 36,Adrian Riven,947,Defeat,58,133,7398,11,8
Match 37,Adrian Riven,1973,Defeat,92,167,11607,16,16
Match 38,Adrian Riven,1631,Victory,92,173,10860,15,14
Match 39,Adrian Riven,1860,Victory,92,218,14076,17,19
Match 40,Adrian Riven,1319,Defeat,360,153,6420,10,6
Match 41,Adrian Riven,1316,Defeat,31,112,6692,12,18
Match 42,Adrian Riven,933,Victory,92,108,6405,11,6
Match 43,Adrian Riven,1894,Defeat,157,222,12487,16,12
Match 44,Adrian Riven,1302,Victory,92,174,10557,14,11
Match 45,Adrian Riven,912,Victory,92,81,5624,10,8
Match 46,Adrian Riven,1239,Victory,92,156,10941,14,16
Match 47,Adrian Riven,1924,Victory,54,188,13806,17,17
Match 48,Adrian Riven,1731,Defeat,80,169,8276,13,21
Match 49,Adrian Riven,1235,Defeat,266,150,7933,12,11
Match 50,Adrian Riven,1512,Victory,266,125,9534,13,11
Match 51,Adrian Riven,2028,Victory,114,216,11480,16,9
Match 52,Adrian Riven,1439,Defeat,2,127,7491,12,11
Match 53,Adrian Riven,967,Defeat,92,74,3806,9,12
Match 54,Adrian Riven,1280,Defeat,92,129,9723,12,16
Match 55,Adrian Riven,1493,Defeat,164,158,10812,13,8
Match 56,Adrian Riven,1210,Victory,92,145,8262,13,11
Match 57,Adrian Riven,1391,Defeat,92,119,5794,12,14
Match 58,Adrian Riven,2056,Defeat,164,186,13420,16,14
Match 59,Adrian Riven,1371,Victory,92,154,9763,14,21
Match 60,Adrian Riven,1750,Defeat,92,130,11141,14,22
Match 61,Adrian Riven,2140,Victory,92,239,18898,18,33
Match 62,Adrian Riven,1954,Victory,164,182,11573,16,22
Match 63,Adrian Riven,1697,Defeat,92,172,9518,14,13
Match 64,Adrian Riven,1621,Defeat,64,180,9698,14,17
Match 65,Adrian Riven,1920,Defeat,2,199,11640,16,16
