,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 28,Belox,1415,Defeat,6,164,11046,14,11
Match 29,Belox,1015,Defeat,19,12,8110,11,11
Match 30,Belox,1362,Victory,80,141,9871,13,7
Match 31,Belox,1617,Defeat,18,125,12313,13,12
Match 32,Belox,2197,Victory,11,105,15647,18,24
Match 33,Belox,1401,Defeat,31,144,12604,14,12
Match 34,Belox,2111,Defeat,421,40,14808,17,10
Match 35,Belox,1494,Defeat,81,181,7885,11,6
Match 36,Belox,2123,Defeat,777,188,14700,17,21
Match 37,Belox,2068,Defeat,39,267,17740,18,12
Match 38,Belox,1621,Defeat,777,163,10954,15,17
Match 39,Belox,915,Defeat,39,90,5445,10,4
Match 40,Belox,1137,Victory,29,102,6763,11,4
Match 1,Belox,1748,Victory,91,140,15342,15,14
Match 2,Belox,1592,Victory,22,27,11956,15,26
Match 3,Belox,1157,Defeat,31,100,6279,12,13
Match 4,Belox,1540,Victory,58,12,10573,13,13
Match 5,Belox,1776,Defeat,14,61,8437,13,21
Match 6,Belox,1827,Victory,92,51,11534,15,17
Match 7,Belox,2111,Victory,360,153,15508,16,9
Match 8,Belox,2056,Defeat,110,215,15986,17,14
Match 9,Belox,1772,Defeat,202,151,9802,13,9
Match 10,Belox,2456,Defeat,120,43,12795,16,21
Match 11,Belox,2394,Victory,777,224,19048,18,14
Match 12,Belox,1110,Defeat,8,100,5751,11,3
Match 13,Belox,1686,Defeat,120,188,11218,15,7
Match 14,Belox,1884,Defeat,429,215,15361,16,13
Match 15,Belox,1466,Defeat,266,177,9667,14,12
Match 16,Belox,1318,Victory,55,154,10432,14,11
Match 17,Belox,1916,Victory,777,194,19742,18,13
Match 18,Belox,928,Victory,202,118,8511,10,4
Match 19,Belox,1228,Defeat,777,83,6019,10,4
Match 20,Belox,1317,Defeat,92,103,7822,12,5
Match 21,Belox,2211,Defeat,31,146,15280,16,7
Match 22,Belox,1264,Victory,555,23,11199,11,9
Match 23,Belox,1139,Victory,31,109,8813,13,1
Match 24,Belox,1781,Victory,31,153,17492,16,7
Match 25,Belox,1718,Defeat,777,99,9953,13,5
Match 26,Belox,1235,Victory,777,161,13004,15,9
Match 27,Belox,1922,Victory,777,201,17217,17,4
Match 28,Belox,2346,Defeat,121,55,18450,18,25
Match 29,Belox,1721,Victory,31,152,14670,16,4
Match 30,Belox,2081,Victory,56,39,16474,17,17
Match 31,Belox,1466,Victory,777,192,13597,16,7
Match 32,Belox,2004,Defeat,62,150,9060,15,12
Match 33,Belox,1978,Victory,92,158,12971,17,14
Match 34,Belox,1364,Defeat,86,128,7764,12,10
Match 35,Belox,965,Victory,92,96,4665,10,8
Match 36,Belox,1143,Victory,777,157,10610,14,10
Match 37,Belox,1583,Defeat,164,105,7751,12,10
Match 38,Belox,2041,Victory,56,67,15794,18,25
Match 39,Belox,1903,Defeat,202,159,14551,16,6
Match 40,Belox,629,Victory,31,76,5010,9,1
Match 41,Belox,1831,Defeat,23,57,11255,14,9
Match 42,Belox,1451,Defeat,157,129,7786,12,4
Match 43,Belox,1605,Defeat,14,81,9841,13,9
Match 44,Belox,2026,Victory,202,124,16590,17,9
Match 45,Belox,2601,Victory,526,49,13182,17,33
Match 46,Belox,951,Victory,56,13,7911,11,9
Match 47,Belox,1568,Defeat,523,164,14272,13,9
Match 48,Belox,1101,Victory,777,111,9132,12,4
Match 49,Belox,1297,Victory,14,138,9631,14,7
Match 50,Belox,1955,Defeat,92,176,12471,16,8
Match 51,Belox,2316,Victory,141,58,13806,17,21
Match 52,Belox,2207,Defeat,235,30,12083,14,38
Match 53,Belox,1928,Victory,42,133,16333,16,7
Match 54,Belox,1272,Defeat,63,103,7579,11,1
Match 55,Belox,2219,Defeat,240,63,14070,16,18
Match 56,Belox,1862,Victory,203,39,11316,15,16
Match 57,Belox,2188,Victory,58,49,16686,17,24
Match 58,Belox,1482,Defeat,777,126,7499,12,9
Match 59,Belox,1609,Victory,31,163,10616,15,10
Match 60,Belox,670,Victory,92,77,4543,10,1
Match 61,Belox,2367,Victory,92,266,24246,18,15
Match 62,Belox,1882,Victory,58,53,17394,17,14
Match 63,Belox,1470,Victory,526,49,10111,14,11
Match 64,Belox,1737,Defeat,92,21,6566,12,8
Match 65,Belox,1429,Victory,777,165,16625,16,4
Match 66,Belox,2460,Victory,42,161,15551,17,11
Match 67,Belox,1212,Defeat,24,16,7549,10,7
Match 68,Belox,1771,Victory,777,185,16769,18,6
Match 69,Belox,1804,Defeat,92,179,12001,16,5
Match 70,Belox,1264,Victory,92,161,11589,14,9
Match 71,Belox,1227,Defeat,777,101,6796,12,4
Match 72,Belox,1396,Defeat,526,38,7933,11,5
Match 73,Belox,1738,Victory,421,25,10778,13,15
Match 74,Belox,2327,Victory,92,47,10861,15,23
Match 75,Belox,1952,Defeat,92,117,10141,14,9
Match 76,Belox,1799,Defeat,526,47,9615,14,15
Match 77,Belox,2283,Defeat,526,71,14456,18,9
Match 1,Belox,1771,Victory,92,226,17634,17,13
Match 2,Belox,1270,Defeat,92,78,5430,12,5
Match 3,Belox,1355,Victory,92,156,11926,15,8
Match 4,Belox,1446,Victory,92,140,11451,14,8
Match 5,Belox,926,Defeat,92,71,4322,9,4
Match 6,Belox,2192,Victory,875,232,20261,18,12
Match 7,Belox,2116,Victory,777,74,12381,17,11
Match 8,Belox,1497,Defeat,42,124,10646,13,6
Match 9,Belox,1840,Defeat,246,116,8745,14,6
Match 10,Belox,1469,Defeat,64,34,6807,11,8
Match 11,Belox,1468,Defeat,92,38,8569,11,14
Match 12,Belox,1683,Defeat,104,17,8562,12,11
Match 13,Belox,1542,Victory,92,44,12600,15,8
Match 14,Belox,645,Victory,72,1,3872,7,6
Match 15,Belox,1500,Victory,120,39,13057,16,10
Match 16,Belox,2095,Defeat,102,53,14506,15,19
Match 17,Belox,1739,Defeat,64,8,10684,13,11
Match 18,Belox,618,Victory,64,3,3676,7,2
Match 19,Belox,1683,Defeat,360,190,14459,15,12
Match 20,Belox,1750,Victory,202,145,17657,16,14
Match 21,Belox,1779,Defeat,92,58,11644,15,11
Match 22,Belox,1354,Victory,92,11,8119,11,10
Match 23,Belox,1690,Victory,202,147,14726,15,3
Match 24,Belox,1170,Defeat,63,14,4911,9,8
Match 25,Belox,919,Defeat,51,87,5209,8,0
Match 26,Belox,947,Victory,92,9,6175,10,9
Match 27,Belox,2226,Victory,236,134,14085,16,17
Match 28,Belox,1321,Defeat,777,101,7453,12,7
Match 29,Belox,1959,Defeat,77,71,15308,17,9
Match 30,Belox,2110,Victory,64,31,14793,17,22
Match 31,Belox,1446,Victory,92,42,9874,13,10
Match 32,Belox,1048,Defeat,875,77,6207,10,4
Match 33,Belox,1457,Defeat,141,110,6702,11,10
Match 34,Belox,2438,Victory,80,68,12609,17,17
Match 35,Belox,2369,Victory,58,236,21249,18,15
Match 36,Belox,1649,Victory,420,191,14540,17,8
Match 37,Belox,1862,Victory,84,159,13992,17,8
Match 38,Belox,1156,Victory,161,64,8627,11,6
Match 39,Belox,1725,Defeat,90,167,13188,16,8
Match 40,Belox,2264,Defeat,75,246,15487,18,14
Match 41,Belox,919,Victory,92,121,8290,12,6
Match 42,Belox,1262,Defeat,77,5,5851,10,5
Match 43,Belox,1323,Defeat,4,9,6152,10,9
Match 44,Belox,1052,Victory,141,6,7789,11,6
Match 45,Belox,1261,Victory,92,141,9801,13,7
Match 46,Belox,1252,Defeat,50,25,7207,10,4
Match 47,Belox,1518,Defeat,48,167,10045,14,7
Match 48,Belox,1792,Defeat,14,149,10810,15,3
Match 49,Belox,2444,Victory,28,11,14681,18,19
Match 50,Belox,1209,Victory,777,79,6750,12,4
Match 51,Belox,993,Defeat,50,83,5742,10,1
Match 52,Belox,1861,Defeat,92,63,12677,16,16
Match 53,Belox,1506,Defeat,777,123,12076,14,7
Match 54,Belox,1802,Victory,92,193,13200,17,11
Match 55,Belox,2179,Defeat,30,155,12061,15,7
Match 56,Belox,1406,Defeat,236,153,11332,13,6
Match 57,Belox,1917,Victory,121,16,13758,16,18
Match 58,Belox,2272,Defeat,98,112,11703,17,11
Match 59,Belox,1676,Victory,98,115,11612,14,9
Match 60,Belox,1705,Defeat,875,168,13547,15,13
Match 61,Belox,1666,Victory,360,147,15665,14,11
Match 62,Belox,2137,Victory,266,98,10447,16,8
Match 63,Belox,1811,Defeat,875,74,14013,14,15
Match 64,Belox,935,Victory,2,11,6963,10,11
Match 65,Belox,2100,Victory,360,192,21751,18,18
Match 66,Belox,2105,Victory,360,215,22719,18,13
Match 67,Belox,945,Victory,92,107,8720,12,3
Match 68,Belox,2264,Victory,141,139,15271,15,3
Match 69,Belox,1344,Victory,19,152,12023,14,9
Match 70,Belox,2074,Defeat,10,196,16513,18,10
Match 71,Belox,1041,Defeat,22,100,5772,9,1
Match 72,Belox,1710,Victory,27,149,12395,16,10
Match 73,Belox,935,Defeat,98,19,4192,7,7
Match 74,Belox,1266,Defeat,92,9,8164,12,10
Match 75,Belox,1216,Victory,121,5,8117,11,15
Match 76,Belox,1113,Defeat,27,84,4733,11,7
Match 77,Belox,1543,Defeat,19,24,9220,11,6
Match 78,Belox,1232,Defeat,19,8,8502,10,8
Match 79,Belox,925,Defeat,22,61,4677,8,1
Match 80,Belox,1815,Defeat,11,85,10232,14,3
Match 81,Belox,1739,Victory,141,159,14286,16,15
Match 82,Belox,2165,Defeat,5,37,14087,15,18
Match 1,Belox,2020,Defeat,102,222,13748,17,15
Match 2,Belox,1957,Victory,875,163,15260,17,11
Match 3,Belox,2077,Victory,102,261,15136,18,10
Match 4,Belox,2444,Victory,102,85,18185,18,17
Match 5,Belox,2381,Defeat,875,70,11096,16,18
Match 6,Belox,1453,Victory,102,53,13570,16,14
Match 7,Belox,1473,Victory,80,126,12705,15,4
Match 8,Belox,2254,Defeat,555,39,15634,15,13
Match 9,Belox,2081,Defeat,777,183,12507,16,15
Match 10,Belox,1053,Victory,777,117,8762,12,6
Match 11,Belox,2121,Victory,777,220,16692,18,12
Match 12,Belox,987,Victory,121,2,9319,12,11
Match 13,Belox,1925,Defeat,76,25,11868,14,16
Match 14,Belox,945,Victory,28,4,5255,9,2
Match 15,Belox,1201,Defeat,19,18,7448,10,17
Match 16,Belox,1949,Victory,777,191,15875,17,14
Match 17,Belox,1870,Victory,53,35,8506,14,17
Match 18,Belox,2225,Victory,360,193,22082,18,25
Match 19,Belox,1997,Defeat,777,234,17338,17,16
Match 20,Belox,1985,Defeat,107,12,9674,14,13
Match 21,Belox,2213,Defeat,517,85,11800,16,9
Match 22,Belox,1377,Defeat,777,120,9071,12,7
Match 23,Belox,1109,Defeat,6,114,6157,11,6
Match 24,Belox,1274,Victory,777,143,10102,13,9
Match 25,Belox,2020,Defeat,360,158,10915,14,11
Match 26,Belox,1075,Defeat,360,97,8256,10,7
Match 27,Belox,1497,Victory,105,36,10346,14,17
Match 28,Belox,1338,Defeat,147,29,5244,11,8
Match 29,Belox,1709,Defeat,555,34,12264,12,26
Match 30,Belox,1583,Defeat,102,145,13627,15,8
Match 31,Belox,195,Victory,420,15,990,3,1
Match 32,Belox,1570,Defeat,27,121,11285,13,7
Match 33,Belox,1586,Victory,777,82,8088,13,2
Match 34,Belox,1356,Defeat,421,29,10027,12,11
Match 35,Belox,1850,Victory,19,27,14287,16,12
Match 36,Belox,2692,Defeat,777,199,16457,18,24
Match 37,Belox,1717,Defeat,80,34,10184,13,30
Match 38,Belox,2464,Victory,22,223,20446,18,27
Match 39,Belox,1319,Victory,111,27,7544,12,18
Match 40,Belox,1356,Victory,777,133,11305,14,5
Match 41,Belox,1441,Victory,80,94,7317,13,7
Match 42,Belox,1980,Defeat,360,144,13026,15,5
Match 43,Belox,1073,Victory,777,128,7464,12,7
Match 44,Belox,2380,Victory,555,36,15129,16,47
Match 45,Belox,1304,Defeat,86,36,9194,11,12
