,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 217,cyrs7,2130,Victory,117,19,10107,16,61
Match 218,cyrs7,1325,Defeat,40,6,6559,10,28
Match 219,cyrs7,1314,Victory,103,95,5794,12,22
Match 220,cyrs7,2315,Victory,267,17,9963,16,72
Match 221,cyrs7,1770,Defeat,267,7,6007,12,48
Match 222,cyrs7,1843,Defeat,117,13,7803,13,55
Match 223,cyrs7,1790,Defeat,267,6,5909,13,29
Match 224,cyrs7,1704,Defeat,25,22,6367,12,48
Match 225,cyrs7,1146,Defeat,117,4,4756,10,21
Match 226,cyrs7,1745,Defeat,117,11,8718,13,62
Match 227,cyrs7,1468,Victory,25,109,7819,13,24
Match 228,cyrs7,2044,Defeat,69,78,9138,15,37
Match 229,cyrs7,1690,Victory,876,34,10364,14,27
Match 230,cyrs7,1698,Defeat,80,31,6582,11,59
Match 231,cyrs7,997,Defeat,80,27,3994,7,19
Match 232,cyrs7,701,Defeat,267,2,2357,6,10
Match 233,cyrs7,2055,Defeat,40,26,8142,13,71
Match 234,cyrs7,2248,Defeat,117,34,11526,15,80
Match 235,cyrs7,1975,Defeat,89,44,8448,14,67
Match 236,cyrs7,1178,Victory,69,66,8542,14,6
Match 237,cyrs7,883,Victory,69,66,8975,12,5
Match 238,cyrs7,1708,Victory,117,21,8403,13,59
Match 239,cyrs7,1175,Defeat,117,3,4214,9,30
Match 240,cyrs7,1990,Victory,40,18,10683,15,78
Match 241,cyrs7,1194,Victory,25,18,6871,11,30
Match 242,cyrs7,2287,Defeat,40,18,11027,18,83
Match 243,cyrs7,1213,Defeat,35,8,5292,9,15
Match 244,cyrs7,977,Defeat,80,56,4109,9,10
Match 245,cyrs7,1286,Defeat,40,9,4955,9,40
Match 246,cyrs7,1420,Defeat,40,6,5869,10,45
Match 247,cyrs7,2189,Defeat,81,118,11712,16,20
Match 248,cyrs7,1475,Victory,3,29,6851,11,38
Match 249,cyrs7,1007,Victory,117,1,4545,9,21
Match 250,cyrs7,1928,Victory,43,28,8738,14,61
Match 251,cyrs7,1405,Defeat,267,12,6063,9,39
Match 252,cyrs7,2369,Defeat,267,16,10559,17,81
Match 253,cyrs7,1536,Defeat,89,39,6085,12,42
Match 254,cyrs7,1438,Defeat,117,5,5434,10,28
Match 255,cyrs7,1167,Defeat,26,13,5119,10,31
Match 256,cyrs7,2052,Victory,117,95,9465,15,38
Match 257,cyrs7,1356,Victory,89,32,6649,11,45
Match 258,cyrs7,1662,Defeat,25,28,7501,12,66
Match 259,cyrs7,2020,Defeat,89,33,8004,13,68
Match 260,cyrs7,1613,Victory,3,38,6794,12,50
Match 261,cyrs7,2212,Defeat,267,23,8638,16,56
Match 262,cyrs7,2421,Victory,89,36,10316,17,81
Match 263,cyrs7,1175,Defeat,25,28,5344,9,34
Match 264,cyrs7,2046,Defeat,40,18,7838,15,78
Match 265,cyrs7,2369,Victory,3,55,11304,15,58
Match 266,cyrs7,1450,Defeat,89,28,5634,11,45
Match 267,cyrs7,1195,Victory,25,81,7017,12,22
Match 268,cyrs7,1750,Victory,89,32,8477,13,55
Match 269,cyrs7,1951,Victory,89,33,7477,12,59
Match 270,cyrs7,1980,Defeat,89,47,7848,13,67
Match 271,cyrs7,1952,Defeat,89,28,6931,12,62
Match 272,cyrs7,1701,Defeat,25,24,6731,12,49
Match 273,cyrs7,1805,Victory,25,27,9680,15,63
Match 274,cyrs7,2153,Defeat,267,6,7709,13,54
Match 275,cyrs7,1625,Defeat,267,9,5032,10,54
Match 276,cyrs7,1268,Victory,117,7,5609,11,31
Match 277,cyrs7,2077,Victory,267,12,9947,15,78
Match 278,cyrs7,1626,Defeat,267,11,6365,11,56
Match 279,cyrs7,914,Defeat,40,9,2939,7,8
Match 280,cyrs7,1922,Defeat,40,10,7173,12,65
Match 281,cyrs7,1507,Defeat,40,14,5892,10,47
Match 282,cyrs7,2508,Victory,267,20,11132,17,94
Match 283,cyrs7,2035,Defeat,99,53,8946,14,84
Match 284,cyrs7,968,Victory,40,7,3715,9,11
Match 285,cyrs7,1605,Victory,267,7,7341,11,54
Match 286,cyrs7,1685,Victory,117,18,7705,12,43
Match 287,cyrs7,1383,Victory,267,6,7398,12,41
Match 288,cyrs7,1748,Victory,267,20,7761,13,69
Match 289,cyrs7,1325,Victory,25,20,6808,10,32
Match 290,cyrs7,2476,Defeat,4,124,12819,17,42
Match 291,cyrs7,2127,Defeat,143,58,9783,15,81
Match 292,cyrs7,1659,Victory,25,34,8993,14,48
Match 293,cyrs7,1713,Defeat,3,28,7156,11,36
Match 294,cyrs7,2177,Victory,40,9,8836,15,67
Match 295,cyrs7,943,Victory,40,10,4741,9,26
Match 296,cyrs7,1742,Defeat,25,27,7159,13,51
Match 297,cyrs7,1456,Victory,40,15,6352,11,45
Match 298,cyrs7,2148,Victory,40,25,9005,15,90
Match 299,cyrs7,1674,Defeat,40,19,5923,11,66
Match 300,cyrs7,1202,Victory,267,6,5945,9,36
Match 301,cyrs7,927,Defeat,117,6,3227,8,17
Match 302,cyrs7,1882,Victory,40,20,9809,14,92
Match 303,cyrs7,2251,Defeat,267,6,8315,14,78
Match 304,cyrs7,1303,Defeat,876,22,5431,9,11
Match 305,cyrs7,1939,Defeat,25,56,8470,13,57
Match 306,cyrs7,1676,Victory,267,18,8466,13,56
Match 307,cyrs7,1706,Defeat,25,21,9472,13,23
Match 308,cyrs7,2517,Victory,25,44,11118,17,85
Match 309,cyrs7,2187,Victory,25,39,10202,16,76
Match 310,cyrs7,630,Victory,99,2,2777,6,6
Match 311,cyrs7,1554,Defeat,117,17,5492,11,29
Match 312,cyrs7,1538,Victory,40,12,8629,13,51
Match 313,cyrs7,1624,Victory,25,35,8859,13,61
Match 314,cyrs7,2419,Victory,143,30,11386,15,103
Match 315,cyrs7,1846,Defeat,89,41,7452,12,75
Match 316,cyrs7,2518,Victory,89,33,10979,17,70
Match 317,cyrs7,2194,Defeat,26,66,10752,15,66
Match 318,cyrs7,1162,Defeat,25,23,6707,9,30
Match 319,cyrs7,1572,Victory,25,43,8299,12,65
Match 320,cyrs7,2649,Victory,25,65,15808,18,98
Match 321,cyrs7,1622,Defeat,518,23,7529,12,49
Match 322,cyrs7,942,Defeat,235,54,5044,8,6
Match 323,cyrs7,1328,Victory,25,27,7058,11,41
Match 324,cyrs7,1293,Victory,25,20,7269,11,37
Match 325,cyrs7,1636,Defeat,40,15,6854,12,47
Match 326,cyrs7,1989,Victory,99,36,8744,14,66
Match 327,cyrs7,1654,Defeat,267,9,6830,11,47
Match 328,cyrs7,1697,Defeat,40,24,6516,12,63
Match 329,cyrs7,1685,Defeat,117,17,6290,12,44
Match 330,cyrs7,1796,Victory,26,30,9531,14,52
Match 331,cyrs7,2072,Victory,40,17,9726,15,75
Match 332,cyrs7,2134,Defeat,117,14,8090,13,81
Match 333,cyrs7,2048,Defeat,143,48,10177,14,75
Match 334,cyrs7,1715,Victory,117,18,7122,13,42
Match 335,cyrs7,1761,Victory,117,14,8025,12,65
Match 336,cyrs7,2031,Victory,99,133,12958,17,23
Match 337,cyrs7,1198,Defeat,267,7,6193,11,15
Match 338,cyrs7,1237,Victory,2,10,7269,11,22
Match 339,cyrs7,2271,Victory,117,25,10576,17,70
