,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 199,Belox,1928,Victory,42,133,16333,16,7
Match 200,Belox,1272,Defeat,63,103,7579,11,1
Match 201,Belox,2219,Defeat,240,63,14070,16,18
Match 202,Belox,1862,Victory,203,39,11316,15,16
Match 203,Belox,2188,Victory,58,49,16686,17,24
Match 204,Belox,1482,Defeat,777,126,7499,12,9
Match 205,Belox,1609,Victory,31,163,10616,15,10
Match 206,Belox,670,Victory,92,77,4543,10,1
Match 207,Belox,2367,Victory,92,266,24246,18,15
Match 208,Belox,1882,Victory,58,53,17394,17,14
Match 209,Belox,1470,Victory,526,49,10111,14,11
Match 210,Belox,1737,Defeat,92,21,6566,12,8
Match 211,Belox,1429,Victory,777,165,16625,16,4
Match 212,Belox,2460,Victory,42,161,15551,17,11
Match 213,Belox,1212,Defeat,24,16,7549,10,7
Match 214,Belox,1771,Victory,777,185,16769,18,6
Match 215,Belox,1804,Defeat,92,179,12001,16,5
Match 216,Belox,1264,Victory,92,161,11589,14,9
Match 217,Belox,1227,Defeat,777,101,6796,12,4
Match 218,Belox,1396,Defeat,526,38,7933,11,5
Match 219,Belox,1738,Victory,421,25,10778,13,15
Match 220,Belox,2327,Victory,92,47,10861,15,23
Match 221,Belox,1952,Defeat,92,117,10141,14,9
Match 222,Belox,1799,Defeat,526,47,9615,14,15
Match 223,Belox,2283,Defeat,526,71,14456,18,9
Match 224,Belox,1771,Victory,92,226,17634,17,13
Match 225,Belox,1270,Defeat,92,78,5430,12,5
Match 226,Belox,1315,Defeat,555,17,7969,9,3
Match 227,Belox,1355,Victory,92,156,11926,15,8
Match 228,Belox,1446,Victory,92,140,11451,14,8
Match 229,Belox,926,Defeat,92,71,4322,9,4
Match 230,Belox,2192,Victory,875,232,20261,18,12
Match 231,Belox,2116,Victory,777,74,12381,17,11
Match 232,Belox,1497,Defeat,42,124,10646,13,6
Match 233,Belox,1840,Defeat,246,116,8745,14,6
Match 234,Belox,1469,Defeat,64,34,6807,11,8
Match 235,Belox,1468,Defeat,92,38,8569,11,14
Match 236,Belox,1683,Defeat,104,17,8562,12,11
Match 237,Belox,1542,Victory,92,44,12600,15,8
Match 238,Belox,645,Victory,72,1,3872,7,6
Match 239,Belox,1500,Victory,120,39,13057,16,10
Match 240,Belox,2095,Defeat,102,53,14506,15,19
Match 241,Belox,1739,Defeat,64,8,10684,13,11
Match 242,Belox,618,Victory,64,3,3676,7,2
Match 243,Belox,1683,Defeat,360,190,14459,15,12
Match 244,Belox,1750,Victory,202,145,17657,16,14
Match 245,Belox,1779,Defeat,92,58,11644,15,11
Match 246,Belox,1354,Victory,92,11,8119,11,10
Match 247,Belox,1690,Victory,202,147,14726,15,3
Match 248,Belox,1170,Defeat,63,14,4911,9,8
Match 249,Belox,919,Defeat,51,87,5209,8,0
Match 250,Belox,947,Victory,92,9,6175,10,9
Match 251,Belox,2226,Victory,236,134,14085,16,17
Match 252,Belox,1321,Defeat,777,101,7453,12,7
Match 253,Belox,1959,Defeat,77,71,15308,17,9
Match 254,Belox,2110,Victory,64,31,14793,17,22
Match 255,Belox,1446,Victory,92,42,9874,13,10
Match 256,Belox,1048,Defeat,875,77,6207,10,4
Match 257,Belox,1457,Defeat,141,110,6702,11,10
Match 258,Belox,2438,Victory,80,68,12609,17,17
Match 259,Belox,2369,Victory,58,236,21249,18,15
Match 260,Belox,1649,Victory,420,191,14540,17,8
Match 261,Belox,1862,Victory,84,159,13992,17,8
Match 262,Belox,1156,Victory,161,64,8627,11,6
Match 263,Belox,1725,Defeat,90,167,13188,16,8
Match 264,Belox,2264,Defeat,75,246,15487,18,14
Match 265,Belox,919,Victory,92,121,8290,12,6
Match 266,Belox,1262,Defeat,77,5,5851,10,5
Match 267,Belox,1323,Defeat,4,9,6152,10,9
Match 268,Belox,1052,Victory,141,6,7789,11,6
Match 269,Belox,1261,Victory,92,141,9801,13,7
Match 270,Belox,1252,Defeat,50,25,7207,10,4
Match 271,Belox,1518,Defeat,48,167,10045,14,7
Match 272,Belox,1792,Defeat,14,149,10810,15,3
Match 273,Belox,2444,Victory,28,11,14681,18,19
Match 274,Belox,1209,Victory,777,79,6750,12,4
Match 275,Belox,993,Defeat,50,83,5742,10,1
Match 276,Belox,1861,Defeat,92,63,12677,16,16
Match 277,Belox,1506,Defeat,777,123,12076,14,7
Match 278,Belox,1802,Victory,92,193,13200,17,11
Match 279,Belox,2179,Defeat,30,155,12061,15,7
Match 280,Belox,1406,Defeat,236,153,11332,13,6
Match 281,Belox,1917,Victory,121,16,13758,16,18
Match 282,Belox,2272,Defeat,98,112,11703,17,11
Match 283,Belox,1676,Victory,98,115,11612,14,9
Match 284,Belox,1705,Defeat,875,168,13547,15,13
Match 285,Belox,1666,Victory,360,147,15665,14,11
Match 286,Belox,2137,Victory,266,98,10447,16,8
Match 287,Belox,1811,Defeat,875,74,14013,14,15
Match 288,Belox,935,Victory,2,11,6963,10,11
Match 289,Belox,2100,Victory,360,192,21751,18,18
Match 290,Belox,2105,Victory,360,215,22719,18,13
Match 291,Belox,945,Victory,92,107,8720,12,3
Match 292,Belox,2264,Victory,141,139,15271,15,3
Match 293,Belox,1344,Victory,19,152,12023,14,9
Match 294,Belox,2074,Defeat,10,196,16513,18,10
Match 295,Belox,1041,Defeat,22,100,5772,9,1
Match 296,Belox,1710,Victory,27,149,12395,16,10
Match 297,Belox,935,Defeat,98,19,4192,7,7
Match 298,Belox,1266,Defeat,92,9,8164,12,10
Match 299,Belox,1216,Victory,121,5,8117,11,15
Match 300,Belox,1113,Defeat,27,84,4733,11,7
Match 301,Belox,1543,Defeat,19,24,9220,11,6
Match 302,Belox,1232,Defeat,19,8,8502,10,8
Match 303,Belox,925,Defeat,22,61,4677,8,1
Match 304,Belox,1815,Defeat,11,85,10232,14,3
Match 305,Belox,1739,Victory,141,159,14286,16,15
Match 306,Belox,2165,Defeat,5,37,14087,15,18
Match 307,Belox,2020,Defeat,102,222,13748,17,15
Match 308,Belox,1957,Victory,875,163,15260,17,11
Match 309,Belox,2077,Victory,102,261,15136,18,10
Match 310,Belox,2444,Victory,102,85,18185,18,17
Match 311,Belox,2381,Defeat,875,70,11096,16,18
Match 312,Belox,2168,Victory,80,51,10961,15,24
Match 313,Belox,1453,Victory,102,53,13570,16,14
Match 314,Belox,1473,Victory,80,126,12705,15,4
Match 315,Belox,2254,Defeat,555,39,15634,15,13
Match 316,Belox,2081,Defeat,777,183,12507,16,15
Match 317,Belox,1053,Victory,777,117,8762,12,6
Match 318,Belox,2121,Victory,777,220,16692,18,12
Match 319,Belox,987,Victory,121,2,9319,12,11
Match 320,Belox,1925,Defeat,76,25,11868,14,16
Match 321,Belox,945,Victory,28,4,5255,9,2
Match 322,Belox,1201,Defeat,19,18,7448,10,17
Match 323,Belox,1949,Victory,777,191,15875,17,14
Match 324,Belox,1870,Victory,53,35,8506,14,17
Match 325,Belox,2225,Victory,360,193,22082,18,25
Match 326,Belox,1997,Defeat,777,234,17338,17,16
Match 327,Belox,1985,Defeat,107,12,9674,14,13
Match 328,Belox,2213,Defeat,517,85,11800,16,9
Match 329,Belox,1377,Defeat,777,120,9071,12,7
Match 330,Belox,1109,Defeat,6,114,6157,11,6
Match 331,Belox,1274,Victory,777,143,10102,13,9
Match 332,Belox,2020,Defeat,360,158,10915,14,11
Match 333,Belox,1075,Defeat,360,97,8256,10,7
Match 334,Belox,1497,Victory,105,36,10346,14,17
Match 335,Belox,1338,Defeat,147,29,5244,11,8
Match 336,Belox,1709,Defeat,555,34,12264,12,26
Match 337,Belox,1583,Defeat,102,145,13627,15,8
Match 338,Belox,195,Victory,420,15,990,3,1
Match 339,Belox,1570,Defeat,27,121,11285,13,7
Match 340,Belox,1586,Victory,777,82,8088,13,2
Match 341,Belox,1356,Defeat,421,29,10027,12,11
Match 342,Belox,1850,Victory,19,27,14287,16,12
Match 343,Belox,2692,Defeat,777,199,16457,18,24
Match 344,Belox,1717,Defeat,80,34,10184,13,30
Match 345,Belox,2464,Victory,22,223,20446,18,27
Match 346,Belox,1319,Victory,111,27,7544,12,18
Match 347,Belox,1356,Victory,777,133,11305,14,5
Match 348,Belox,1441,Victory,80,94,7317,13,7
Match 349,Belox,1980,Defeat,360,144,13026,15,5
Match 350,Belox,1073,Victory,777,128,7464,12,7
Match 351,Belox,2380,Victory,555,36,15129,16,47
